junit,JUnitTestContainsTooManyAsserts
junit,UseAssertTrueInsteadOfAssertEquals
logging-jakarta-commons,UseCorrectExceptionLogging
logging-jakarta-commons,ProperLogger
logging-jakarta-commons,GuardDebugLogging
logging-jakarta-commons,GuardLogStatement
logging-java,MoreThanOneLogger
logging-java,LoggerIsNotStaticFinal
logging-java,SystemPrintln
logging-java,AvoidPrintStackTrace
logging-java,GuardLogStatementJavaUtil
naming,ShortVariable
naming,LongVariable
naming,ShortMethodName
naming,VariableNamingConventions
naming,MethodNamingConventions
naming,ClassNamingConventions
naming,AbstractNaming
naming,AvoidDollarSigns
naming,MethodWithSameNameAsEnclosingClass
naming,SuspiciousHashcodeMethodName
naming,SuspiciousConstantFieldName
naming,SuspiciousEqualsMethodName
naming,AvoidFieldNameMatchingTypeName
naming,AvoidFieldNameMatchingMethodName
naming,NoPackage
naming,PackageCase
naming,MisleadingVariableName
naming,BooleanGetMethodName
naming,ShortClassName
naming,GenericsNaming
optimizations,LocalVariableCouldBeFinal
optimizations,MethodArgumentCouldBeFinal
optimizations,AvoidInstantiatingObjectsInLoops
optimizations,UseArrayListInsteadOfVector
optimizations,SimplifyStartsWith
optimizations,UseStringBufferForStringAppends
optimizations,UseArraysAsList
optimizations,AvoidArrayLoops
optimizations,UnnecessaryWrapperObjectCreation
optimizations,AddEmptyString
optimizations,RedundantFieldInitializer
optimizations,PrematureDeclaration
strictexception,AvoidCatchingThrowable
strictexception,SignatureDeclareThrowsException
strictexception,ExceptionAsFlowControl
strictexception,AvoidCatchingNPE
strictexception,AvoidThrowingRawExceptionTypes
strictexception,AvoidThrowingNullPointerException
strictexception,AvoidRethrowingException
strictexception,DoNotExtendJavaLangError
strictexception,DoNotThrowExceptionInFinally
strictexception,AvoidThrowingNewInstanceOfSameException
strictexception,AvoidCatchingGenericException
strictexception,AvoidLosingExceptionInformation
strings,AvoidDuplicateLiterals
strings,StringInstantiation
strings,StringToString
strings,InefficientStringBuffering
strings,UnnecessaryCaseChange
strings,UseStringBufferLength
strings,AppendCharacterWithChar
strings,ConsecutiveAppendsShouldReuse
strings,ConsecutiveLiteralAppends
strings,UseIndexOfChar
strings,InefficientEmptyStringCheck
strings,InsufficientStringBufferDeclaration
strings,UselessStringValueOf
strings,StringBufferInstantiationWithChar
strings,UseEqualsToCompareStrings
strings,AvoidStringBufferField
sunsecure,MethodReturnsInternalArray
sunsecure,ArrayIsStoredDirectly
unnecessary,UnnecessaryConversionTemporary
unnecessary,UnnecessaryReturn
unnecessary,UnnecessaryFinalModifier
unnecessary,UselessOverridingMethod
unnecessary,UselessOperationOnImmutable
unnecessary,UnusedNullCheckInEquals
unnecessary,UselessParentheses
unusedcode,UnusedPrivateField
unusedcode,UnusedLocalVariable
unusedcode,UnusedPrivateMethod
unusedcode,UnusedFormalParameter
unusedcode,UnusedModifier
